<DATE>,<TIME>,<LAST>,<VOL>,<ID>,<OPER>
20200103,063000,61.7708000,61.8113000,61.7230000,61.7713000,1368
20200103,064500,61.8179000,61.8179000,61.7480000,61.7651000,931
20200103,070000,61.8016000,61.8094000,61.7550000,61.7781000,1420
20200103,071500,61.8001000,61.8001000,61.7464000,61.7627000,283
20200103,073000,61.7811000,61.7890000,61.7340000,61.7649000,274
20200103,074500,61.7812000,61.7870000,61.7385000,61.7464000,175
20200103,080000,61.7814000,61.8035000,61.7464000,61.7606000,281
20200103,081500,61.7504000,61.7870000,61.6890000,61.7220000,469
20200103,083000,61.7292000,61.7510000,61.6870000,61.7255000,382
20200103,084500,61.7341000,61.7466000,61.6840000,61.7022000,269
20200103,090000,61.7260000,61.7370000,61.6840000,61.7142000,163
20200103,091500,61.7138000,61.7485000,61.6870000,61.7159000,91
20200103,093000,61.7184000,61.8829000,61.6920000,61.7990000,451
20200103,094500,61.8216000,61.8700000,61.7890000,61.8430000,200
20200103,100000,61.8522000,61.8540000,61.7580000,61.7857000,388
20200103,101500,61.7857000,61.9113000,61.7500000,61.9102000,9539
20200103,103000,61.8964000,62.0161000,61.8570000,62.0045000,8876
20200103,104500,62.0045000,62.1049000,61.9740000,62.0475000,10199
20200103,110000,62.0420000,62.2165000,61.9970000,62.2135000,11825
20200103,111500,62.2128000,62.2355000,62.0270000,62.0849000,10989
20200103,113000,62.0858000,62.0971000,61.9430000,62.0106000,8350
20200103,114500,62.0100000,62.0355000,61.8830000,61.9971000,8739
20200103,120000,61.9900000,62.0490000,61.9381000,61.9910000,7538
20200103,121500,61.9913000,62.0782000,61.9440000,62.0750000,8862
20200103,123000,62.0840000,62.0912000,61.9680000,62.0149000,7999
20200103,124500,62.0154000,62.0665000,61.9680000,62.0465000,8015
20200103,130000,62.0282000,62.1174000,61.9810000,62.0901000,8703
20200103,131500,62.0901000,62.0995000,61.9940000,62.0622000,9352
20200103,133000,62.0460000,62.0697000,61.9314000,62.0041000,9661
20200103,134500,62.0137000,62.0547000,61.9480000,62.0458000,8268
20200103,140000,62.0539000,62.0584000,61.9800000,62.0363000,6496
20200103,141500,62.0363000,62.0734000,61.9670000,62.0418000,9210
20200103,143000,62.0228000,62.0557000,61.9750000,62.0399000,9448
20200103,144500,62.0443000,62.0722000,61.9932000,62.0577000,7255
20200103,150000,62.0387000,62.0847000,61.9934000,62.0016000,8516
20200103,151500,62.0519000,62.0745000,61.9929000,62.0561000,8939
20200103,153000,62.0564000,62.0702000,61.9835000,62.0472000,8006
20200103,154500,62.0390000,62.0659000,61.9850000,62.0464000,5683
20200103,160000,62.0500000,62.0720000,61.9810000,62.0474000,5923
20200103,161500,62.0501000,62.0623000,61.9480000,61.9990000,6943
20200103,163000,62.0042000,62.0125000,61.8910000,61.9525000,7627
20200103,164500,61.9496000,62.0164000,61.8640000,61.9998000,8189
20200103,170000,62.0018000,62.0139000,61.9370000,62.0024000,7830
20200103,171500,62.0015000,62.0148000,61.9330000,62.0084000,8773
20200103,173000,62.0080000,62.0368000,61.9470000,61.9700000,6767
20200103,174500,62.0100000,62.0263000,61.9003000,61.9717000,8237
20200103,180000,61.9713000,62.0057000,61.9000000,61.9627000,9340
20200103,181500,61.8890000,61.9927000,61.8660000,61.8790000,9803
20200103,183000,61.9290000,61.9720000,61.8700000,61.9494000,7449
20200103,184500,61.9497000,61.9870000,61.9040000,61.9620000,5922
20200103,190000,61.9140000,61.9819000,61.8375000,61.8928000,4961
20200103,191500,61.9110000,61.9500000,61.8470000,61.9000000,5894
20200103,193000,61.9069000,61.9496000,61.8460000,61.9386000,5000
20200103,194500,61.9386000,61.9470000,61.8557000,61.9365000,3900
20200103,200000,61.9356000,61.9500000,61.8815000,61.9390000,2785
20200103,201500,61.9350000,61.9720000,61.8832000,61.9640000,3086
20200103,203000,61.9745000,61.9756000,61.9148000,61.9564000,1871
20200103,204500,61.9649000,61.9690000,61.9140000,61.9535000,1744
20200103,210000,61.9618000,61.9765000,61.9100000,61.9180000,1784
20200103,211500,61.9686000,61.9990000,61.9092000,61.9899000,2198
20200103,213000,61.9840000,62.0124000,61.9370000,61.9590000,2167
20200103,214500,62.0069000,62.0500000,61.9560000,62.0085000,4343
20200103,220000,62.0441000,62.0928000,61.9936000,62.0655000,3360
20200103,221500,62.1074000,62.1086000,62.0090000,62.0615000,3664
20200103,223000,62.0678000,62.0737000,62.0068000,62.0230000,3540
20200103,224500,62.0726000,62.0930000,62.0216000,62.0890000,2584
20200103,230000,62.0907000,62.0956000,62.0360000,62.0439000,1834
20200103,231500,62.0933000,62.1000000,62.0413000,62.0925000,1755
20200103,233000,62.0935000,62.1000000,62.0400000,62.0991000,1720
20200103,234500,62.0991000,62.1004000,62.0337000,62.0380000,1596
20200104,000000,62.0380000,62.1026000,61.9910000,61.9960000,1871
20200104,001500,62.0445000,62.0803000,61.9970000,62.0490000,465
20200104,003000,62.0698000,62.0715000,62.0340000,62.0490000,252
20200104,004500,62.0457000,62.0715000,62.0380000,62.0450000,312
20200104,010000,62.0746000,62.0840000,62.0025000,62.0690000,404
20200104,011500,62.0964000,62.0964000,62.0600000,62.0871000,5
20200104,013000,62.0871000,62.0871000,62.0690000,62.0690000,5
20200104,014500,62.0933000,62.0933000,62.0933000,62.0933000,1
20200105,211500,61.8000000,62.0320000,61.8000000,62.0320000,3
20200105,221500,62.4895000,62.4902000,62.4850000,62.4902000,3
20200105,223000,62.5115000,62.5115000,62.4900000,62.5064000,4
20200105,224500,62.5064000,62.5064000,62.5064000,62.5064000,3
