<TIME>,USD/RUB,<LAST>
000957,USD/RUB,61.535000000
000957,USD/RUB,61.545300000
000957,USD/RUB,61.535000000
000958,USD/RUB,61.529000000
000959,USD/RUB,61.535000000
000959,USD/RUB,61.557000000
000959,USD/RUB,61.535000000
001000,USD/RUB,61.559800000
001001,USD/RUB,61.535000000
001001,USD/RUB,61.545500000
001001,USD/RUB,61.545500000
001003,USD/RUB,61.535000000
001004,USD/RUB,61.545600000
001004,USD/RUB,61.545600000
001004,USD/RUB,61.535000000
001006,USD/RUB,61.535000000
001006,USD/RUB,61.545700000
001006,USD/RUB,61.545700000
001008,USD/RUB,61.535000000
001008,USD/RUB,61.545800000
001008,USD/RUB,61.535000000
001010,USD/RUB,61.535000000
001010,USD/RUB,61.545800000
001010,USD/RUB,61.535000000
001012,USD/RUB,61.535000000
001012,USD/RUB,61.544800000
001012,USD/RUB,61.535000000
001014,USD/RUB,61.535000000
001015,USD/RUB,61.535000000
001015,USD/RUB,61.544800000
001015,USD/RUB,61.535000000
001016,USD/RUB,61.535000000
001016,USD/RUB,61.546000000
001017,USD/RUB,61.535000000
001017,USD/RUB,61.545700000
001037,USD/RUB,61.535000000
001039,USD/RUB,61.535000000
001039,USD/RUB,61.545900000
001039,USD/RUB,61.535000000
001041,USD/RUB,61.543700000
001041,USD/RUB,61.535000000
001041,USD/RUB,61.535000000
001041,USD/RUB,61.545900000
001043,USD/RUB,61.543800000
001043,USD/RUB,61.535000000
001043,USD/RUB,61.535000000
001043,USD/RUB,61.545900000
001045,USD/RUB,61.535000000
001045,USD/RUB,61.543700000
001046,USD/RUB,61.535000000
001046,USD/RUB,61.545900000
001048,USD/RUB,61.535000000
001048,USD/RUB,61.535000000
001048,USD/RUB,61.545900000
001050,USD/RUB,61.535000000
001050,USD/RUB,61.535000000
001050,USD/RUB,61.545900000
001052,USD/RUB,61.543800000
001052,USD/RUB,61.535000000
001052,USD/RUB,61.535000000
001052,USD/RUB,61.545900000
001053,USD/RUB,61.535000000
001054,USD/RUB,61.535000000
001054,USD/RUB,61.535000000
001054,USD/RUB,61.545900000
001056,USD/RUB,61.535000000
001056,USD/RUB,61.543800000
001056,USD/RUB,61.535000000
001057,USD/RUB,61.545900000
001058,USD/RUB,61.545900000
001058,USD/RUB,61.545900000
001059,USD/RUB,61.545900000
001059,USD/RUB,61.535000000
001101,USD/RUB,61.545900000
001101,USD/RUB,61.535000000
001101,USD/RUB,61.535000000
001103,USD/RUB,61.535000000
001103,USD/RUB,61.545900000
001103,USD/RUB,61.535000000
001105,USD/RUB,61.545900000
001105,USD/RUB,61.535000000
001105,USD/RUB,61.535000000
001107,USD/RUB,61.535000000
001107,USD/RUB,61.545900000
001107,USD/RUB,61.535000000
001109,USD/RUB,61.535000000
001109,USD/RUB,61.545900000
001109,USD/RUB,61.535000000
001112,USD/RUB,61.535000000
001112,USD/RUB,61.545900000
001112,USD/RUB,61.535000000
001114,USD/RUB,61.535000000
001114,USD/RUB,61.545900000
001114,USD/RUB,61.535000000
001116,USD/RUB,61.535000000
001116,USD/RUB,61.545900000
001116,USD/RUB,61.535000000
001118,USD/RUB,61.545800000
001118,USD/RUB,61.545800000
001118,USD/RUB,61.535000000
001138,USD/RUB,61.535000000
001140,USD/RUB,61.535000000
001140,USD/RUB,61.545900000
001140,USD/RUB,61.545900000
001142,USD/RUB,61.535000000
001142,USD/RUB,61.535000000
001143,USD/RUB,61.545900000
001143,USD/RUB,61.545900000
001145,USD/RUB,61.535000000
001145,USD/RUB,61.545900000
001145,USD/RUB,61.545900000
001147,USD/RUB,61.535000000
001147,USD/RUB,61.545900000
001147,USD/RUB,61.535000000
001149,USD/RUB,61.535000000
001149,USD/RUB,61.545900000
001149,USD/RUB,61.535000000
001151,USD/RUB,61.535000000
001151,USD/RUB,61.545900000
001151,USD/RUB,61.545900000
001151,USD/RUB,61.535000000
001153,USD/RUB,61.535000000
001153,USD/RUB,61.544300000
001153,USD/RUB,61.535000000
001154,USD/RUB,61.535000000
001154,USD/RUB,61.545900000
001155,USD/RUB,61.535000000
001156,USD/RUB,61.535000000
001156,USD/RUB,61.545900000
001156,USD/RUB,61.545900000
001158,USD/RUB,61.535000000
001158,USD/RUB,61.545900000
001158,USD/RUB,61.545900000
001200,USD/RUB,61.535000000
001200,USD/RUB,61.545900000
001200,USD/RUB,61.545900000
001202,USD/RUB,61.535000000
001202,USD/RUB,61.545900000
001202,USD/RUB,61.535000000
001204,USD/RUB,61.544500000
001204,USD/RUB,61.535000000
001204,USD/RUB,61.535000000
001205,USD/RUB,61.545900000
001207,USD/RUB,61.544500000
001207,USD/RUB,61.535000000
001207,USD/RUB,61.545900000
001207,USD/RUB,61.535000000
001209,USD/RUB,61.544500000
001209,USD/RUB,61.535000000
001209,USD/RUB,61.535000000
001209,USD/RUB,61.545900000
001211,USD/RUB,61.544500000
