<TIME>,EUR/RUB,<LAST>
002527,EUR/RUB,68.315400000
002527,EUR/RUB,68.310000000
002528,EUR/RUB,68.251000000
002528,EUR/RUB,68.279000000
002539,EUR/RUB,68.251000000
002539,EUR/RUB,68.251000000
002540,EUR/RUB,68.251000000
002548,EUR/RUB,68.251000000
002549,EUR/RUB,68.251000000
002558,EUR/RUB,68.315400000
002601,EUR/RUB,68.251000000
002603,EUR/RUB,68.251000000
002605,EUR/RUB,68.251000000
002606,EUR/RUB,68.251000000
002619,EUR/RUB,68.251000000
002620,EUR/RUB,68.251000000
002628,EUR/RUB,68.251000000
002629,EUR/RUB,68.316600000
002633,EUR/RUB,68.251000000
002638,EUR/RUB,68.251000000
002641,EUR/RUB,68.251000000
002642,EUR/RUB,68.251000000
002643,EUR/RUB,68.252000000
002644,EUR/RUB,68.251000000
002646,EUR/RUB,68.251000000
002647,EUR/RUB,68.251000000
002652,EUR/RUB,68.251000000
002652,EUR/RUB,68.253000000
002653,EUR/RUB,68.251000000
002700,EUR/RUB,68.316600000
002705,EUR/RUB,68.251000000
002707,EUR/RUB,68.253000000
002708,EUR/RUB,68.254000000
002711,EUR/RUB,68.254000000
002711,EUR/RUB,68.281000000
002715,EUR/RUB,68.254000000
002720,EUR/RUB,68.254000000
002721,EUR/RUB,68.254000000
002728,EUR/RUB,68.254000000
002731,EUR/RUB,68.319100000
002731,EUR/RUB,68.254000000
002732,EUR/RUB,68.253000000
002733,EUR/RUB,68.254000000
002738,EUR/RUB,68.254000000
002739,EUR/RUB,68.254000000
002741,EUR/RUB,68.254000000
002749,EUR/RUB,68.254000000
002757,EUR/RUB,68.254000000
002758,EUR/RUB,68.254000000
002804,EUR/RUB,68.254000000
002808,EUR/RUB,68.254000000
002813,EUR/RUB,68.254000000
002814,EUR/RUB,68.254000000
002816,EUR/RUB,68.318500000
002816,EUR/RUB,68.252000000
002817,EUR/RUB,68.279000000
002817,EUR/RUB,68.253000000
002818,EUR/RUB,68.253000000
002819,EUR/RUB,68.253000000
002820,EUR/RUB,68.254000000
002821,EUR/RUB,68.253000000
002822,EUR/RUB,68.254000000
002823,EUR/RUB,68.254000000
002825,EUR/RUB,68.254000000
002826,EUR/RUB,68.254000000
002827,EUR/RUB,68.253000000
002838,EUR/RUB,68.253000000
002847,EUR/RUB,68.317800000
002847,EUR/RUB,68.281000000
002851,EUR/RUB,68.253000000
002855,EUR/RUB,68.253000000
002856,EUR/RUB,68.253000000
002857,EUR/RUB,68.254000000
002901,EUR/RUB,68.253000000
002902,EUR/RUB,68.254000000
002904,EUR/RUB,68.253000000
002905,EUR/RUB,68.254000000
002910,EUR/RUB,68.254000000
002911,EUR/RUB,68.255000000
002912,EUR/RUB,68.256000000
002913,EUR/RUB,68.256000000
002914,EUR/RUB,68.257000000
002915,EUR/RUB,68.256000000
002916,EUR/RUB,68.257000000
002918,EUR/RUB,68.257000000
002919,EUR/RUB,68.257000000
002919,EUR/RUB,68.318500000
002921,EUR/RUB,68.257000000
002922,EUR/RUB,68.257000000
002928,EUR/RUB,68.256000000
002929,EUR/RUB,68.257000000
002930,EUR/RUB,68.256000000
002931,EUR/RUB,68.257000000
002932,EUR/RUB,68.257000000
002933,EUR/RUB,68.256000000
002935,EUR/RUB,68.256000000
002936,EUR/RUB,68.256000000
002940,EUR/RUB,68.257000000
002941,EUR/RUB,68.257000000
002942,EUR/RUB,68.257000000
002944,EUR/RUB,68.257000000
002950,EUR/RUB,68.318500000
003000,EUR/RUB,68.332000000
003000,EUR/RUB,68.257000000
003001,EUR/RUB,68.257000000
003002,EUR/RUB,68.257000000
003003,EUR/RUB,68.257000000
003004,EUR/RUB,68.254000000
003007,EUR/RUB,68.255000000
003008,EUR/RUB,68.254000000
003009,EUR/RUB,68.255000000
003011,EUR/RUB,68.254000000
003012,EUR/RUB,68.255000000
003019,EUR/RUB,68.256000000
003020,EUR/RUB,68.256000000
003021,EUR/RUB,68.315400000
003021,EUR/RUB,68.255000000
003024,EUR/RUB,68.255000000
003025,EUR/RUB,68.255000000
003026,EUR/RUB,68.255000000
003027,EUR/RUB,68.279000000
003027,EUR/RUB,68.256000000
003029,EUR/RUB,68.256000000
003030,EUR/RUB,68.257000000
003031,EUR/RUB,68.257000000
003032,EUR/RUB,68.257000000
003035,EUR/RUB,68.257000000
003039,EUR/RUB,68.257000000
003053,EUR/RUB,68.317800000
003057,EUR/RUB,68.281000000
003059,EUR/RUB,68.257000000
003100,EUR/RUB,68.257000000
003102,EUR/RUB,68.257000000
003103,EUR/RUB,68.257000000
003104,EUR/RUB,68.257000000
003105,EUR/RUB,68.257000000
003106,EUR/RUB,68.257000000
003107,EUR/RUB,68.257000000
003109,EUR/RUB,68.257000000
003110,EUR/RUB,68.257000000
003111,EUR/RUB,68.258000000
003112,EUR/RUB,68.256000000
003113,EUR/RUB,68.256000000
003114,EUR/RUB,68.257000000
003115,EUR/RUB,68.256000000
003119,EUR/RUB,68.256000000
003120,EUR/RUB,68.256000000
003122,EUR/RUB,68.256000000
003123,EUR/RUB,68.256000000
003124,EUR/RUB,68.257000000
003125,EUR/RUB,68.256000000
003126,EUR/RUB,68.256000000
003127,EUR/RUB,68.256000000
003128,EUR/RUB,68.257000000
003129,EUR/RUB,68.257000000
003130,EUR/RUB,68.254000000
003131,EUR/RUB,68.255000000
003131,EUR/RUB,68.316000000
003132,EUR/RUB,68.255000000
003132,EUR/RUB,68.254000000
003133,EUR/RUB,68.255000000
003134,EUR/RUB,68.254000000
003134,EUR/RUB,68.279000000
003139,EUR/RUB,68.253000000
003144,EUR/RUB,68.253000000
003145,EUR/RUB,68.252000000
003147,EUR/RUB,68.252000000
003147,EUR/RUB,68.252000000
003148,EUR/RUB,68.252000000
003151,EUR/RUB,68.252000000
003152,EUR/RUB,68.252000000
003153,EUR/RUB,68.252000000
003154,EUR/RUB,68.252000000
003155,EUR/RUB,68.253000000
003156,EUR/RUB,68.252000000
003157,EUR/RUB,68.252000000
003200,EUR/RUB,68.250000000
003201,EUR/RUB,68.249000000
003203,EUR/RUB,68.311700000
003204,EUR/RUB,68.249000000
003204,EUR/RUB,68.275000000
003209,EUR/RUB,68.249000000
003210,EUR/RUB,68.251000000
003216,EUR/RUB,68.251000000
003217,EUR/RUB,68.251000000
003218,EUR/RUB,68.249000000
003224,EUR/RUB,68.249000000
003226,EUR/RUB,68.250000000
003227,EUR/RUB,68.249000000
003236,EUR/RUB,68.249000000
003239,EUR/RUB,68.249000000
003240,EUR/RUB,68.249000000
003241,EUR/RUB,68.249000000
003242,EUR/RUB,68.249000000
003243,EUR/RUB,68.249000000
003244,EUR/RUB,68.311100000
003249,EUR/RUB,68.248000000
003250,EUR/RUB,68.249000000
003257,EUR/RUB,68.250000000
003258,EUR/RUB,68.248000000
003259,EUR/RUB,68.249000000
